Name,Period,Teacher,School,School 2,Notes
Aedesia,5th century,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Neoplatonic,Platonic,"wife of Hermias, and mother of Ammonius and Heliodorus"
Aedesius,3rd / 4th century,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Neoplatonic,Platonic,studied under Iamblichus before founding his own school in Pergamum
Aeneas of Gaza,fl. 5th century / died c. 518,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Neoplatonist,Platonic,Christian convert who studied under Hierocles
Aeschines of Neapolis,fl. c. 110 BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",New Academy,Platonic,"shared the leadership of the Academy at Athens together with Charmadas and 
Clitomachus about 110 BC"
Agapius,fl. 5th – 6th century,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Neoplatonist,Platonic,studied under Marinus of Neapolis. known for his learning
Albinus,fl. c. 150,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Middle Platonist,Platonic,
Alcinous,fl. c. 2nd century,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Middle Platonist,Platonic,
Ambrosius Theodosius Macrobius,fl. 395 – 423,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Neoplatonist,Platonic,
Amelius,fl. c. 250 – 300,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Neoplatonist,Platonic,student of Plotinus who wrote voluminously
Ammonius Hermiae,c. 440 – c. 520,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Neoplatonist,Platonic,
Ammonius of Athens,fl. 1st century,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Middle Platonist,Platonic,teacher of Plutarch
Antiochus of Ascalon,c. 130 BC – 68/67 BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Middle Platonist,Platonic,
Antoninus,fl. 4th century,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Neoplatonist,Platonic,
Apuleius,c. 125 – c. 180,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Middle Platonist,Platonic,
Arcesilaus,c. 316 BC – c. 241 BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Middle Academy,Platonic,
Aristonymus,fl. 4th century BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Academy,Platonic,
Asclepigenia,fl. 430,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Neoplatonist,Platonic,
