"Author,Title",Date,Places,Hits,https://topostext.org/texts
"Aelian, Characteristics of Animals",234.0,338.0,1025.0,
"Aelian, Varia Historia",234.0,241.0,765.0,
"Aelius Aristides 13, Panathenaicus",160.0,137.0,429.0,
"Aelius Aristides 19, Eleusinian Oration",160.0,20.0,33.0,
"Aeneas Tacticus, Poliorketika",-350.0,54.0,68.0,
"Aeschines, Against Ctesiphon",-330.0,97.0,297.0,
"Aeschines, Against Timarchus",-346.0,34.0,75.0,
"Aeschines, On the Embassy",-343.0,91.0,249.0,
"Aeschylus, Agamemnon",-458.0,24.0,67.0,
"Aeschylus, Eumenides",-458.0,15.0,20.0,
"Aeschylus, Libation Bearers",-458.0,14.0,21.0,
"Aeschylus, Persians",-472.0,66.0,136.0,
"Aeschylus, Prometheus Bound",-450.0,24.0,34.0,
"Aeschylus, Seven Against Thebes",-467.0,13.0,30.0,
"Aeschylus, Suppliant Maidens",-463.0,29.0,61.0,
"Agatharchides, On the Erythraean Sea",-145.0,68.0,153.0,
"Agathemerus, Sketch of Geography",250.0,172.0,286.0,
"Alciphron, Letters I-III",200.0,108.0,158.0,
"Alciphron, Letters IV",200.0,50.0,75.0,
"Ammianus Marcellinus, History",390.0,526.0,2120.0,
"Ampelius, Liber Memorialis",200.0,265.0,488.0,
"Andocides, Against Alcibiades",-400.0,19.0,35.0,
"Andocides, On His Return",-410.0,6.0,13.0,
"Andocides, On the Mysteries",-399.0,44.0,117.0,
"Andocides, On the Peace with Sparta",-391.0,30.0,106.0,
Anonymous Life of Aeschylus,300.0,11.0,19.0,
Anonymous Life of Aesop,100.0,20.0,66.0,
Anonymous Life of Sophocles,399.0,13.0,20.0,
Anonymous Stadiasmus of the Great Sea,200.0,259.0,569.0,
"Anonymous, Acts of Barnabas",300.0,26.0,38.0,
"Anonymous, Aetna",70.0,23.0,42.0,
"Anonymous, Antonine Itinerary",200.0,740.0,1543.0,
"Anonymous, Caesar's African War",-40.0,31.0,172.0,
"Anonymous, Expositio Totius Mundi et Gentium",350.0,134.0,201.0,
"Anonymous, Itinerarium Gaditanum",-1.0,104.0,104.0,
"Anonymous, Notitia Galliarum",400.0,92.0,95.0,
"Anonymous, Notitia of the Regions of Rome",350.0,109.0,136.0,
"Anonymous, Peutinger Table",300.0,748.0,901.0,
"Anonymous/Caesar, Spanish War",-40.0,15.0,83.0,
"Antigonus, Compilation of Marvellous Accounts (1-77)",-240.0,118.0,172.0,
"Antiphon, On the Choreutes",-411.0,3.0,3.0,
"Antiphon, On the Murder of Herodes",-411.0,6.0,22.0,
"Antoninus Liberalis, Metamorphoses",200.0,104.0,163.0,
"Apollodorus, Library",100.0,253.0,688.0,
"Apollodorus, Library (epitome)",100.0,140.0,295.0,
"Apollonius Rhodius, Argonautica",-250.0,241.0,532.0,
"Appian, Civil Wars",165.0,311.0,1640.0,
"Appian, Illyrian Affairs",165.0,63.0,182.0,
"Appian, Macedonian Affairs",165.0,52.0,120.0,
"Appian, Mithridatic Wars",165.0,190.0,652.0,
